Month,Brooklyn,Manhattan,Queens,Bronx,Staten Island
JAN20,405,303,144,234,35
FEB20,405,303,146,136,41
MAR20,358,270,156,151,33
APR20,368,284,143,131,23
MAY20,638,417,272,270,70
JUN20,648,366,309,258,80
JUL20,714,401,341,258,74
AUG20,632,481,324,305,92
SEP20,619,436,290,265,62
OCT20,533,372,331,271,45
NOV20,358,311,218,194,27
DEC20,317,236,234,144,35
JAN21,412,423,158,224,33
FEB21,320,279,135,198,30
MAR21,679,487,300,304,61
APR21,824,523,296,401,56
MAY21,917,602,316,427,58
JUN21,1052,645,382,464,95
JUL21,1012,720,401,461,82
AUG21,937,699,350,455,80
SEP21,860,672,274,421,74
OCT21,1077,743,356,451,71
NOV21,760,622,234,331,33
DEC21,0,0,0,0,0